"cityId","cityName_CN","cityName_EN","Lon","Lat","Regis_pop","Res_pop","GDP","Employ_pct","Patent","SM_degree","Mob_degree","Pub_degree"
420800,"荆门","Jingmen",112.609,31.0712,6e+05,832000,5.1384e+10,1.875,1397,1010575,180457,53
441400,"梅州","Meizhou",116.079,24.2021,970000,1001000,40495700000,1.279,1649,3192484,242622,63
360900,"宜春","Yichun(JX)",114.972,28.3073,1150000,1250000,24894440000,1.585,2684,1200513,606929,75
350700,"南平","Nanping",118.143,27.3401,860000,931000,46324970000,1.484,1497,1749435,284919,10
511900,"巴中","Bazhong",107.038,32.0165,1360000,1487000,19575750000,0.531,338,584034,212747,3
451300,"来宾","Laibin",109.414,23.857,1130000,1130000,26042420000,0.409,287,142181,259744,5
230800,"佳木斯","Jiamusi",132.258,47.2677,780000,780000,43144320000,1.378,746,964072,169918,106
140600,"朔州","Shuozhou",112.642,39.6179,670000,744000,45293300000,1.613,209,557028,176127,5
421200,"咸宁","Xianning",114.174,29.6256,620000,676000,2.5911e+10,1.255,1371,839339,305651,87
130800,"承德","Chengde",117.546,41.3455,6e+05,640000,30517520000,5.351,762,1147002,245858,81
341700,"池州","Chizhou",117.365,30.2837,670000,7e+05,31317980000,1.143,1555,628709,171031,28
510900,"遂宁","Suining",105.47,30.6315,1520000,1580000,41673050000,0.426,983,934783,305142,31
431300,"娄底","Loudi",111.611,27.7393,490000,649000,40382040000,0.723,1110,966642,389872,32
621000,"庆阳","Qingyang",107.588,36.1654,390000,522000,17188810000,1.086,489,501968,135091,19
610200,"铜川","Tongchuan",109.034,35.1996,740000,753000,27849500000,1.102,171,489823,114523,16
411600,"周口","Zhoukou",114.877,33.7248,640000,615000,21118430000,3.07,1213,1143154,819603,87
341500,"六安","Lu'an",116.313,31.7573,2200000,2276000,4.8164e+10,0.404,2668,1089884,473233,44
610600,"延安","Yan'an",109.316,36.4391,480000,815000,2.5514e+10,1.549,510,762124,231842,112
220800,"白城","Baicheng",123.011,45.3439,490000,513000,18174500000,2.272,184,656524,124778,22
610500,"渭南","Weinan",109.853,34.9536,960000,1351000,33319500000,2.77,820,1068535,426937,42
220600,"白山","Baishan",127.283,42.0687,550000,598000,35039890000,1.31,119,708969,125328,2
