"msaId","msa_Name","Lon","Lat","Res_pop","GDP","Bachelor_pct","Patent","FS_degree_scaled","Mob_degree","Pub_degree"
44420,"Staunton, VA",-79.1276321,38.1609584,123120,5543563,18,18,40277444,452074,84
44700,"Stockton, CA",-121.272244,37.9349815,762148,34339849,12,132,186785418,2629271,227
45060,"Syracuse, NY",-76.1961336,43.0065163,648593,43390586,22,270,232078216,1078942,4405
45220,"Tallahassee, FL",-84.2804096,30.3864255,387227,19201689,24,88,200394762,767052,8369
45300,"Tampa-St. Petersburg-Clearwater, FL",-82.4652858,28.1259071,3194831,169151030,21,744,1114197571,5592077,3469
45460,"Terre Haute, IN",-87.3111315,39.4784006,186367,7921798,14,15,41885121,388303,414
45500,"Texarkana, TX-AR",-94.2071694,33.4783701,148761,5932375,13,4,43588020,316662,2
45540,"The Villages, FL",-82.0743472,28.7141008,132420,3131534,27,12,21808111,818861,6
45780,"Toledo, OH",-83.5170883,41.5553128,641816,38379623,18,198,166628907,1068034,1603
45820,"Topeka, KS",-95.8026393,39.0413888,231969,12085036,20,20,79808342,489052,241
45940,"Trenton-Princeton, NJ",-74.703724,40.2825026,367430,36074135,29,471,233470841,1997477,11831
46060,"Tucson, AZ",-111.7836574,32.1280427,1047279,48387560,21,721,260062383,1578641,11334
46140,"Tulsa, OK",-96.1773294,36.2544287,998626,57818637,18,254,307277654,1156671,332
46220,"Tuscaloosa, AL",-87.7991533,33.0978758,252047,11915411,17,37,140680131,744437,99
46340,"Tyler, TX",-95.2700409,32.3770156,232751,11265333,17,39,76444215,619968,166
46540,"Utica-Rome, NY",-75.1731893,43.3322796,289990,14383948,17,40,76649061,589926,243
46660,"Valdosta, GA",-83.2435547,30.8271579,147292,6038209,14,8,74326757,357982,34
46700,"Vallejo, CA",-121.939594,38.2672255,447643,26035209,18,75,212325400,2055446,13300
47020,"Victoria, TX",-97.1969934,28.7314546,99742,4970019,13,12,25197393,236499,5
47220,"Vineland-Bridgeton, NJ",-75.1216277,39.3284336,149527,6927309,11,7,51996988,601477,75
47260,"Virginia Beach-Norfolk-Newport News, VA-NC",-76.4495261,36.8044077,1768901,103080568,21,202,806579742,2572071,7484
47300,"Visalia, CA",-118.7810551,36.2288339,466195,20705405,9,27,98845319,1201429,74
47380,"Waco, TX",-97.0934727,31.4272264,273920,13601023,14,48,95384836,828466,4612
47460,"Walla Walla, WA",-118.4803697,46.2546057,60760,3946182,19,19,23376130,203548,1743
47580,"Warner Robins, GA",-83.7110844,32.4928056,185409,8321244,17,11,105252777,666423,19
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",-77.4868816,38.7982054,6280487,559061958,34,3275,2685942147,11597660,68533
47940,"Waterloo-Cedar Falls, IA",-92.471608,42.5367962,168522,9916973,19,42,63133390,314706,108
48060,"Watertown-Fort Drum, NY",-76.0529678,43.996389,109834,6738046,14,13,39309533,274867,4
48140,"Wausau-Weston, WI",-89.7579047,45.0539796,163285,10665019,17,20,30373518,233023,266
48260,"Weirton-Steubenville, WV-OH",-80.7019657,40.3889142,116074,7065407,12,8,29977453,406261,22
48300,"Wenatchee, WA",-120.2701973,47.7661102,120629,6989188,16,16,27561958,332298,94
48540,"Wheeling, WV-OH",-80.8470113,39.975509,138948,11939964,16,7,32964138,398638,10
48620,"Wichita, KS",-97.2462875,37.637896,640218,38390305,20,150,185177562,641138,339
48660,"Wichita Falls, TX",-98.5019073,33.7761441,151254,6711314,15,10,40129022,324622,18
48700,"Williamsport, PA",-77.0552624,41.3438824,113299,6423825,17,16,29722862,236752,30
48900,"Wilmington, NC",-77.889634,34.4260331,297533,15348154,25,88,159313703,1040078,211
49020,"Winchester, VA-WV",-78.4718276,39.2729744,140566,7229299,18,18,66747864,622061,127
49180,"Winston-Salem, NC",-80.3450642,36.0788515,676008,36245398,18,232,290143453,2040718,3077
